id_siswa,nama_siswa,email,tingkat_pendidikan,kelas_tingkat,provinsi,tanggal_gabung
SPN0021,Alya Hidayat,alya.hidayat21@pintarnusa.id,SMP,9,Sumatera Utara,2025-08-31
SPN0022,Elsa Nugroho,elsa.nugroho22@pintarnusa.id,SMA,12,Jawa Barat,2025-05-16
SPN0023,Dian Dewanti,dian.dewanti23@pintarnusa.id,SMP,9,Jawa Timur,2024-09-30
SPN0024,Gilang Fadilah,gilang.fadilah24@pintarnusa.id,SMA,11,Jawa Tengah,2025-11-25
SPN0025,Mira Kurniawan,mira.kurniawan25@pintarnusa.id,SMP,7,DKI Jakarta,2023-05-12
SPN0026,Vera Susanto,vera.susanto26@pintarnusa.id,SMP,9,Kalimantan Timur,2024-03-27
SPN0027,Ahmad Setiawan,ahmad.setiawan27@pintarnusa.id,SMP,7,Jawa Timur,2023-05-19
SPN0028,Eka Anggraeni,eka.anggraeni28@pintarnusa.id,SMP,9,Banten,2024-05-02
SPN0029,Lina Fadilah,lina.fadilah29@pintarnusa.id,SMA,10,Sumatera Utara,2023-09-28
SPN0030,Nabila Prabowo,nabila.prabowo30@pintarnusa.id,SMA,10,Jawa Barat,2025-08-26
SPN0031,Hana Rahayu,hana.rahayu31@pintarnusa.id,SMP,7,Sumatera Utara,2025-06-01
SPN0032,Yuni Suryadi,yuni.suryadi32@pintarnusa.id,SMA,11,Jawa Timur,2023-04-21
SPN0033,Dimas Sulistyo,dimas.sulistyo33@pintarnusa.id,SMP,7,Jawa Barat,2025-04-04
SPN0034,Rahma Anggraeni,rahma.anggraeni34@pintarnusa.id,SMP,7,Nusa Tenggara Timur,2024-01-28
SPN0035,Agus Dewanti,agus.dewanti35@pintarnusa.id,SMA,10,Papua,2025-05-14
SPN0036,Zahra Maharani,zahra.maharani36@pintarnusa.id,SMA,10,Kalimantan Selatan,2023-06-04
SPN0037,Lukman Hermawan,lukman.hermawan37@pintarnusa.id,SMP,7,Jawa Timur,2023-01-31
SPN0038,Lestari Tanjung,lestari.tanjung38@pintarnusa.id,SMP,7,Jawa Barat,2025-04-12
SPN0039,Tara Budiman,tara.budiman39@pintarnusa.id,SMP,8,Lampung,2023-05-01
SPN0040,Wati Wibisono,wati.wibisono40@pintarnusa.id,SMP,8,DKI Jakarta,2024-06-27
SPN0041,Nisa Cahyani,nisa.cahyani41@pintarnusa.id,SMA,12,Jawa Barat,2025-09-23
SPN0042,Umi Rahayu,umi.rahayu42@pintarnusa.id,SMA,10,Banten,2023-04-30
SPN0043,Intan Halim,intan.halim43@pintarnusa.id,SMP,9,Jawa Barat,2024-10-04
SPN0044,Hadi Handoko,hadi.handoko44@pintarnusa.id,SMA,12,Bali,2025-12-23
SPN0045,Vina Handoko,vina.handoko45@pintarnusa.id,SMP,7,Jawa Timur,2023-05-21
SPN0046,Laras Setiawan,laras.setiawan46@pintarnusa.id,SMP,8,Lampung,2023-09-03
SPN0047,Gina Utami,gina.utami47@pintarnusa.id,SMP,9,Jawa Tengah,2023-06-17
SPN0048,Irma Fadilah,irma.fadilah48@pintarnusa.id,SMA,11,Banten,2024-02-23
SPN0049,Ayu Putranto,ayu.putranto49@pintarnusa.id,SMA,10,DI Yogyakarta,2024-06-27
SPN0050,Fauzi Hidayat,fauzi.hidayat50@pintarnusa.id,SMA,11,Jawa Timur,2024-10-09
SPN0051,Winda Setiawan,winda.setiawan51@pintarnusa.id,SMP,8,Papua,2023-07-24
SPN0052,Joko Dewanti,joko.dewanti52@pintarnusa.id,SMP,9,Kalimantan Timur,2024-06-27
SPN0053,Rina Fitriani,rina.fitriani53@pintarnusa.id,SMP,7,Nusa Tenggara Barat,2025-01-26
SPN0054,Mega Nugroho,mega.nugroho54@pintarnusa.id,SMA,12,Sulawesi Tengah,2024-09-11
SPN0055,Nova Sulistyo,nova.sulistyo55@pintarnusa.id,SMP,9,Sumatera Utara,2024-09-05
SPN0056,Rizki Permana,rizki.permana56@pintarnusa.id,SMP,8,Bali,2023-08-25
SPN0057,Nur Halim,nur.halim57@pintarnusa.id,SMP,8,Jawa Barat,2024-07-31
SPN0058,Maya Saputra,maya.saputra58@pintarnusa.id,SMA,10,Jawa Timur,2024-06-24
SPN0059,Wulan Ardiansyah,wulan.ardiansyah59@pintarnusa.id,SMA,10,Jawa Barat,2023-07-09
SPN0060,Salsa Suryadi,salsa.suryadi60@pintarnusa.id,SMA,10,Jawa Tengah,2023-01-08
SPN0061,Umar Siagian,umar.siagian61@pintarnusa.id,SMP,9,Jawa Tengah,2024-06-20
SPN0062,Vina Halim,vina.halim62@pintarnusa.id,SMA,12,Jawa Timur,2025-05-25
SPN0063,Fahri Wijaya,fahri.wijaya63@pintarnusa.id,SMP,7,Kalimantan Tengah,2023-11-02
SPN0064,Doni Pratama,doni.pratama64@pintarnusa.id,SMA,12,Jawa Tengah,2023-10-31
SPN0065,Kiki Hidayat,kiki.hidayat65@pintarnusa.id,SMP,8,Jawa Timur,2025-01-16
SPN0066,Fajar Fitriani,fajar.fitriani66@pintarnusa.id,SMP,9,DI Yogyakarta,2024-05-26
SPN0067,Ayu Permana,ayu.permana67@pintarnusa.id,SMA,12,Jawa Barat,2025-04-12
SPN0068,Omar Halim,omar.halim68@pintarnusa.id,SMP,7,Kalimantan Selatan,2023-11-29
SPN0069,Yusuf Prasetyo,yusuf.prasetyo69@pintarnusa.id,SMP,7,Jawa Barat,2024-11-11
SPN0070,Hana Fadilah,hana.fadilah70@pintarnusa.id,SMP,8,Papua Barat,2023-11-23
SPN0071,Ilham Permana,ilham.permana71@pintarnusa.id,SMA,10,Kalimantan Timur,2025-08-21
SPN0072,Endang Rahayu,endang.rahayu72@pintarnusa.id,SMA,11,Jawa Timur,2024-09-17
SPN0073,Fitri Purnama,fitri.purnama73@pintarnusa.id,SMP,9,Jawa Barat,2024-01-31
SPN0074,Gilang Anggraeni,gilang.anggraeni74@pintarnusa.id,SMA,10,Kalimantan Barat,2024-07-25
SPN0075,Widya Sulistyo,widya.sulistyo75@pintarnusa.id,SMA,12,Riau,2024-11-09
SPN0076,Dewi Kurniawan,dewi.kurniawan76@pintarnusa.id,SMA,10,Sumatera Barat,2024-06-27
SPN0077,Eka Permana,eka.permana77@pintarnusa.id,SMA,11,Kalimantan Timur,2024-10-04
SPN0078,Kiki Yulianto,kiki.yulianto78@pintarnusa.id,SMP,8,Jawa Barat,2024-01-25
SPN0079,Ika Pratama,ika.pratama79@pintarnusa.id,SMA,10,Jawa Tengah,2025-11-30
SPN0080,Bella Anwar,bella.anwar80@pintarnusa.id,SMP,8,Jawa Barat,2025-06-02
SPN0081,Indah Fadilah,indah.fadilah81@pintarnusa.id,SMA,12,Sulawesi Selatan,2024-10-04
SPN0082,Rizki Kurniawan,rizki.kurniawan82@pintarnusa.id,SMA,12,Sumatera Selatan,2024-09-25
SPN0083,Ayu Prasetyo,ayu.prasetyo83@pintarnusa.id,SMA,11,Jawa Tengah,2024-08-28
SPN0084,Elsa Hidayat,elsa.hidayat84@pintarnusa.id,SMP,8,Jawa Barat,2025-02-15
SPN0085,Dimas Halim,dimas.halim85@pintarnusa.id,SMP,9,Jawa Tengah,2024-09-08
SPN0086,Gilang Hermawan,gilang.hermawan86@pintarnusa.id,SMP,8,Jawa Tengah,2024-08-10
SPN0087,Cahya Suryadi,cahya.suryadi87@pintarnusa.id,SMA,11,Sumatera Barat,2025-06-23
SPN0088,Lukman Anwar,lukman.anwar88@pintarnusa.id,SMP,9,Sumatera Selatan,2025-08-27
SPN0089,Syifa Nugroho,syifa.nugroho89@pintarnusa.id,SMP,8,Sulawesi Tengah,2025-11-21
SPN0090,Rizki Iskandar,rizki.iskandar90@pintarnusa.id,SMA,10,DKI Jakarta,2024-04-26
SPN0091,Dimas Hakim,dimas.hakim91@pintarnusa.id,SMP,7,Jawa Barat,2023-10-29
SPN0092,Dewi Pratama,dewi.pratama92@pintarnusa.id,SMP,8,Riau,2023-05-30
SPN0093,Nisa Prasetyo,nisa.prasetyo93@pintarnusa.id,SMP,9,Aceh,2025-02-25
SPN0094,Vivi Hartono,vivi.hartono94@pintarnusa.id,SMP,7,Sumatera Utara,2023-01-12
SPN0095,Winda Siagian,winda.siagian95@pintarnusa.id,SMP,8,Kalimantan Timur,2024-03-24
SPN0096,Yusuf Rachmawati,yusuf.rachmawati96@pintarnusa.id,SMA,10,Banten,2024-05-25
SPN0097,Putra Darmawan,putra.darmawan97@pintarnusa.id,SMP,8,Banten,2025-12-23
SPN0098,Fahri Yulianto,fahri.yulianto98@pintarnusa.id,SMA,11,Jawa Tengah,2025-10-30
SPN0099,Jasmine Hermawan,jasmine.hermawan99@pintarnusa.id,SMA,10,Jawa Barat,2025-08-30
SPN0100,Mira Firmansyah,mira.firmansyah100@pintarnusa.id,SMP,9,Jawa Barat,2024-07-21
SPN0101,Alya Siagian,alya.siagian101@pintarnusa.id,SMA,12,Jawa Barat,2024-05-04
SPN0102,Lina Wahyuni,lina.wahyuni102@pintarnusa.id,SMP,9,Sumatera Selatan,2024-08-08
SPN0103,Galih Maharani,galih.maharani103@pintarnusa.id,SMA,11,Jawa Tengah,2023-06-15
SPN0104,Sari Santoso,sari.santoso104@pintarnusa.id,SMP,8,Banten,2023-11-09
SPN0105,Luki Saputra,luki.saputra105@pintarnusa.id,SMP,8,Bali,2025-04-14
SPN0106,Umar Dewanti,umar.dewanti106@pintarnusa.id,SMA,11,Jawa Timur,2023-05-08
SPN0107,Cahya Prasetyo,cahya.prasetyo107@pintarnusa.id,SMA,12,Jawa Tengah,2023-02-10
SPN0108,Yuda Prabowo,yuda.prabowo108@pintarnusa.id,SMA,11,Jambi,2023-01-13
SPN0109,Yuni Hakim,yuni.hakim109@pintarnusa.id,SMA,11,Jawa Timur,2024-03-27
SPN0110,Tara Purnama,tara.purnama110@pintarnusa.id,SMA,11,Jawa Barat,2025-09-21
SPN0111,Dewi Wibisono,dewi.wibisono111@pintarnusa.id,SMA,12,Jawa Timur,2025-04-08
SPN0112,Nabila Nugroho,nabila.nugroho112@pintarnusa.id,SMA,10,Jawa Barat,2025-12-29
SPN0113,Dewi Hartono,dewi.hartono113@pintarnusa.id,SMP,7,Nusa Tenggara Barat,2025-05-27
SPN0114,Sari Darmawan,sari.darmawan114@pintarnusa.id,SMP,7,Kalimantan Selatan,2024-06-16
SPN0115,Dina Ramadhan,dina.ramadhan115@pintarnusa.id,SMP,8,Sumatera Selatan,2024-10-31
SPN0116,Vera Tanjung,vera.tanjung116@pintarnusa.id,SMA,11,Sulawesi Utara,2025-05-13
SPN0117,Ika Gunawan,ika.gunawan117@pintarnusa.id,SMA,10,Kalimantan Selatan,2023-04-17
SPN0118,Widya Purnama,widya.purnama118@pintarnusa.id,SMP,9,Jawa Timur,2023-03-24
SPN0119,Winda Susanto,winda.susanto119@pintarnusa.id,SMP,7,Sulawesi Tengah,2023-02-11
SPN0120,Omar Santoso,omar.santoso120@pintarnusa.id,SMP,7,DI Yogyakarta,2025-08-27
SPN0121,Ayu Kurniawan,ayu.kurniawan121@pintarnusa.id,SMP,8,Kalimantan Selatan,2024-06-08
SPN0122,Alya Kusuma,alya.kusuma122@pintarnusa.id,SMP,9,Sulawesi Tengah,2023-08-23
SPN0123,Bagus Nugroho,bagus.nugroho123@pintarnusa.id,SMA,10,Jawa Tengah,2023-02-22
SPN0124,Rafi Prabowo,rafi.prabowo124@pintarnusa.id,SMA,11,Jawa Barat,2024-02-11
SPN0125,Joko Suryana,joko.suryana125@pintarnusa.id,SMP,7,Jawa Timur,2024-09-09
SPN0126,Fira Yulianto,fira.yulianto126@pintarnusa.id,SMP,9,Jawa Tengah,2023-03-26
SPN0127,Widya Dewanti,widya.dewanti127@pintarnusa.id,SMA,12,Kalimantan Barat,2025-01-28
SPN0128,Indah Safitri,indah.safitri128@pintarnusa.id,SMA,10,Sulawesi Selatan,2025-05-10
SPN0129,Tara Permana,tara.permana129@pintarnusa.id,SMA,11,Jawa Barat,2025-07-30
SPN0130,Luki Santoso,luki.santoso130@pintarnusa.id,SMA,10,Banten,2025-12-04
SPN0131,Ulfah Maharani,ulfah.maharani131@pintarnusa.id,SMA,11,Jawa Tengah,2025-06-11
SPN0132,Rahma Suryana,rahma.suryana132@pintarnusa.id,SMA,11,Jawa Timur,2024-05-17
SPN0133,Lestari Maharani,lestari.maharani133@pintarnusa.id,SMA,10,Jawa Barat,2025-08-09
SPN0134,Gina Nuraini,gina.nuraini134@pintarnusa.id,SMA,11,Jawa Tengah,2023-02-28
SPN0135,Vivi Ramadhan,vivi.ramadhan135@pintarnusa.id,SMP,8,Nusa Tenggara Barat,2024-03-10
SPN0136,Yuni Firmansyah,yuni.firmansyah136@pintarnusa.id,SMA,11,Jawa Tengah,2024-07-19
SPN0137,Fahri Wijaya,fahri.wijaya137@pintarnusa.id,SMP,7,Banten,2024-05-09
SPN0138,Nabila Prasetyo,nabila.prasetyo138@pintarnusa.id,SMA,12,Riau,2024-05-07
SPN0139,Hasan Budiman,hasan.budiman139@pintarnusa.id,SMA,11,Jawa Tengah,2023-02-05
SPN0140,Lestari Cahyani,lestari.cahyani140@pintarnusa.id,SMP,8,Papua,2024-05-13
SPN0141,Rafi Fadilah,rafi.fadilah141@pintarnusa.id,SMA,11,Papua,2025-12-23
SPN0142,Widya Suryadi,widya.suryadi142@pintarnusa.id,SMA,11,Jawa Timur,2025-07-18
SPN0143,Kurnia Hakim,kurnia.hakim143@pintarnusa.id,SMA,10,Banten,2023-09-05
SPN0144,Nabila Rahayu,nabila.rahayu144@pintarnusa.id,SMA,10,Jawa Timur,2024-01-15
SPN0145,Agus Saputra,agus.saputra145@pintarnusa.id,SMA,11,Jawa Timur,2025-12-10
SPN0146,Laras Cahyani,laras.cahyani146@pintarnusa.id,SMP,7,Jawa Barat,2024-08-29
SPN0147,Fitri Kusuma,fitri.kusuma147@pintarnusa.id,SMP,8,Sumatera Utara,2023-01-29
SPN0148,Luki Dewanti,luki.dewanti148@pintarnusa.id,SMP,8,Banten,2023-04-04
SPN0149,Gita Hermawan,gita.hermawan149@pintarnusa.id,SMA,12,Jawa Barat,2023-09-16
SPN0150,Salsa Tanjung,salsa.tanjung150@pintarnusa.id,SMA,10,Jawa Timur,2023-01-26
SPN0151,Haris Cahyani,haris.cahyani151@pintarnusa.id,SMA,11,Bali,2025-06-21
SPN0152,Vera Wibowo,vera.wibowo152@pintarnusa.id,SMP,8,Jawa Timur,2025-09-05
SPN0153,Oktavia Setiawan,oktavia.setiawan153@pintarnusa.id,SMA,11,Jawa Barat,2023-06-01
SPN0154,Haris Iskandar,haris.iskandar154@pintarnusa.id,SMP,7,DKI Jakarta,2023-11-02
SPN0155,Gina Hakim,gina.hakim155@pintarnusa.id,SMP,7,Papua Barat,2023-08-31
SPN0156,Fahri Tanjung,fahri.tanjung156@pintarnusa.id,SMA,12,Jawa Timur,2024-04-07
SPN0157,Bagus Mulyani,bagus.mulyani157@pintarnusa.id,SMA,11,Lampung,2025-06-25
SPN0158,Putri Suryana,putri.suryana158@pintarnusa.id,SMA,11,Aceh,2023-05-04
SPN0159,Nova Halim,nova.halim159@pintarnusa.id,SMP,7,Jawa Timur,2024-03-08
SPN0160,Jihan Fadilah,jihan.fadilah160@pintarnusa.id,SMP,7,Sumatera Barat,2024-05-06
SPN0161,Yusuf Hermawan,yusuf.hermawan161@pintarnusa.id,SMP,7,Jawa Tengah,2023-01-06
SPN0162,Hana Wahyuni,hana.wahyuni162@pintarnusa.id,SMA,11,Sumatera Selatan,2023-03-08
SPN0163,Fitri Cahyani,fitri.cahyani163@pintarnusa.id,SMA,12,Sumatera Selatan,2025-07-18
SPN0164,Joko Anwar,joko.anwar164@pintarnusa.id,SMP,8,Banten,2024-02-10
SPN0165,Jasmine Kurniawan,jasmine.kurniawan165@pintarnusa.id,SMP,9,Jawa Barat,2023-11-02
SPN0166,Kurnia Santoso,kurnia.santoso166@pintarnusa.id,SMP,7,Kalimantan Tengah,2023-12-06
SPN0167,Rafi Yulianto,rafi.yulianto167@pintarnusa.id,SMA,11,Jawa Tengah,2023-09-12
SPN0168,Pandu Rachmawati,pandu.rachmawati168@pintarnusa.id,SMA,12,Jawa Timur,2025-04-04
SPN0169,Kurnia Safitri,kurnia.safitri169@pintarnusa.id,SMA,11,Jawa Barat,2023-06-14
SPN0170,Laras Pratama,laras.pratama170@pintarnusa.id,SMA,12,Sumatera Utara,2024-10-22
SPN0171,Maya Firmansyah,maya.firmansyah171@pintarnusa.id,SMP,7,Lampung,2024-04-13
SPN0172,Dimas Prabowo,dimas.prabowo172@pintarnusa.id,SMP,9,Jawa Barat,2024-07-05
SPN0173,Haris Pratama,haris.pratama173@pintarnusa.id,SMP,8,Banten,2025-11-28
SPN0174,Ulfah Wahyuni,ulfah.wahyuni174@pintarnusa.id,SMA,10,Jawa Timur,2025-06-11
SPN0175,Salsa Ardiansyah,salsa.ardiansyah175@pintarnusa.id,SMP,8,Sumatera Selatan,2024-12-13
SPN0176,Hana Anggraeni,hana.anggraeni176@pintarnusa.id,SMA,12,Jawa Timur,2023-08-03
SPN0177,Vina Anggraeni,vina.anggraeni177@pintarnusa.id,SMA,12,Riau,2025-10-11
SPN0178,Mega Fadilah,mega.fadilah178@pintarnusa.id,SMA,12,Jawa Tengah,2023-03-17
SPN0179,Nisa Gunawan,nisa.gunawan179@pintarnusa.id,SMA,11,Nusa Tenggara Barat,2024-10-24
SPN0180,Oktavia Siagian,oktavia.siagian180@pintarnusa.id,SMA,12,Jawa Barat,2023-01-03
SPN0181,Rizki Dewanti,rizki.dewanti181@pintarnusa.id,SMA,11,Jawa Tengah,2023-04-22
SPN0182,Agus Mulyani,agus.mulyani182@pintarnusa.id,SMA,12,Jawa Barat,2025-10-17
SPN0183,Rama Wahyuni,rama.wahyuni183@pintarnusa.id,SMP,7,Bali,2024-06-30
SPN0184,Elsa Hidayat,elsa.hidayat184@pintarnusa.id,SMA,11,Sulawesi Utara,2025-09-19
SPN0185,Putra Susanto,putra.susanto185@pintarnusa.id,SMP,9,Jawa Timur,2023-11-21
SPN0186,Rafi Hermawan,rafi.hermawan186@pintarnusa.id,SMP,9,Lampung,2025-04-15
SPN0187,Lestari Purnama,lestari.purnama187@pintarnusa.id,SMP,8,Kalimantan Barat,2023-08-29
SPN0188,Tiara Santoso,tiara.santoso188@pintarnusa.id,SMA,12,Sumatera Utara,2024-08-20
SPN0189,Yoga Putranto,yoga.putranto189@pintarnusa.id,SMA,11,Banten,2025-09-15
SPN0190,Riska Utami,riska.utami190@pintarnusa.id,SMA,12,Jawa Timur,2023-10-24
SPN0191,Eko Rahayu,eko.rahayu191@pintarnusa.id,SMP,7,Jawa Barat,2024-07-19
SPN0192,Alya Prasetyo,alya.prasetyo192@pintarnusa.id,SMA,12,Sulawesi Tengah,2024-07-01
SPN0193,Ahmad Cahyani,ahmad.cahyani193@pintarnusa.id,SMA,12,Sulawesi Tenggara,2025-09-29
SPN0194,Umi Wahyuni,umi.wahyuni194@pintarnusa.id,SMA,11,Sumatera Selatan,2024-11-11
SPN0195,Elsa Tanjung,elsa.tanjung195@pintarnusa.id,SMA,11,Jawa Tengah,2024-10-21
SPN0196,Agus Rachmawati,agus.rachmawati196@pintarnusa.id,SMP,9,Jawa Tengah,2025-02-23
SPN0197,Fitri Siagian,fitri.siagian197@pintarnusa.id,SMA,10,Sumatera Barat,2024-10-13
SPN0198,Taufan Budiman,taufan.budiman198@pintarnusa.id,SMA,11,Sulawesi Tengah,2023-11-08
SPN0199,Vivi Pratama,vivi.pratama199@pintarnusa.id,SMP,9,Sulawesi Tengah,2024-11-10
SPN0200,Muhammad Wahyuni,muhammad.wahyuni200@pintarnusa.id,SMP,9,Kalimantan Timur,2025-07-24
SPN0201,Budi Adriani,budi.adriani201@pintarnusa.id,SMP,8,Sumatera Selatan,2023-11-13
SPN0202,Joko Budiman,joko.budiman202@pintarnusa.id,SMA,11,Jawa Barat,2025-03-25
SPN0203,Ulfah Gunawan,ulfah.gunawan203@pintarnusa.id,SMA,12,Jawa Barat,2025-12-28
SPN0204,Dina Ramadhan,dina.ramadhan204@pintarnusa.id,SMA,12,Sulawesi Tenggara,2023-03-15
SPN0205,Omar Setiawan,omar.setiawan205@pintarnusa.id,SMP,9,Sumatera Utara,2024-08-11
SPN0206,Fitri Halim,fitri.halim206@pintarnusa.id,SMP,8,Jawa Barat,2023-07-21
SPN0207,Yuda Iskandar,yuda.iskandar207@pintarnusa.id,SMP,8,Jawa Barat,2023-12-07
SPN0208,Hasan Hakim,hasan.hakim208@pintarnusa.id,SMP,7,Lampung,2024-10-26
SPN0209,Hadi Cahyani,hadi.cahyani209@pintarnusa.id,SMA,11,Jawa Barat,2025-06-01
SPN0210,Taufik Utami,taufik.utami210@pintarnusa.id,SMA,12,Jawa Barat,2024-01-04
SPN0211,Wati Wibowo,wati.wibowo211@pintarnusa.id,SMP,9,DI Yogyakarta,2025-02-22
SPN0212,Omar Anwar,omar.anwar212@pintarnusa.id,SMP,8,Riau,2023-10-21
SPN0213,Fitri Darmawan,fitri.darmawan213@pintarnusa.id,SMA,11,Lampung,2024-06-06
SPN0214,Ayu Wijaya,ayu.wijaya214@pintarnusa.id,SMA,11,Jawa Timur,2023-11-20
SPN0215,Joko Wahyuni,joko.wahyuni215@pintarnusa.id,SMA,12,Riau,2024-09-04
SPN0216,Salsa Suryadi,salsa.suryadi216@pintarnusa.id,SMA,11,Jawa Timur,2024-09-10
SPN0217,Bayu Wibisono,bayu.wibisono217@pintarnusa.id,SMA,10,Jawa Tengah,2024-04-30
SPN0218,Dina Prabowo,dina.prabowo218@pintarnusa.id,SMA,12,Jambi,2024-08-28
SPN0219,Ilham Cahyani,ilham.cahyani219@pintarnusa.id,SMP,9,Lampung,2025-03-21
SPN0220,Lina Wijaya,lina.wijaya220@pintarnusa.id,SMP,9,Sulawesi Selatan,2025-10-14
SPN0221,Mega Siagian,mega.siagian221@pintarnusa.id,SMP,9,Lampung,2024-12-22
SPN0222,Endang Iskandar,endang.iskandar222@pintarnusa.id,SMP,9,Sumatera Utara,2024-05-28
SPN0223,Dimas Tanjung,dimas.tanjung223@pintarnusa.id,SMP,9,Jawa Barat,2023-07-18
SPN0224,Rama Sulistyo,rama.sulistyo224@pintarnusa.id,SMP,8,Jawa Tengah,2025-06-21
SPN0225,Eka Suryana,eka.suryana225@pintarnusa.id,SMA,12,Jawa Timur,2023-09-27
SPN0226,Lestari Cahyani,lestari.cahyani226@pintarnusa.id,SMA,12,Jawa Timur,2025-04-30
SPN0227,Yusuf Rahayu,yusuf.rahayu227@pintarnusa.id,SMP,9,Papua,2025-01-19
SPN0228,Arif Safitri,arif.safitri228@pintarnusa.id,SMA,10,Jawa Tengah,2024-06-10
SPN0229,Siti Cahyani,siti.cahyani229@pintarnusa.id,SMA,10,Sulawesi Tengah,2025-08-17
SPN0230,Joko Santoso,joko.santoso230@pintarnusa.id,SMP,9,Sumatera Selatan,2025-03-24
SPN0231,Fahri Kusuma,fahri.kusuma231@pintarnusa.id,SMP,8,Kalimantan Selatan,2023-01-29
SPN0232,Jihan Dewanti,jihan.dewanti232@pintarnusa.id,SMP,8,Banten,2025-01-24
SPN0233,Dimas Halim,dimas.halim233@pintarnusa.id,SMA,12,Sumatera Utara,2025-02-19
SPN0234,Salsa Kusuma,salsa.kusuma234@pintarnusa.id,SMP,9,Banten,2024-04-23
SPN0235,Riska Susanto,riska.susanto235@pintarnusa.id,SMA,12,Jawa Timur,2024-03-29
SPN0236,Tiara Setiawan,tiara.setiawan236@pintarnusa.id,SMA,12,Sumatera Barat,2024-09-10
SPN0237,Ulfah Prasetyo,ulfah.prasetyo237@pintarnusa.id,SMP,7,Jawa Timur,2023-04-03
SPN0238,Eka Hakim,eka.hakim238@pintarnusa.id,SMA,10,Jawa Barat,2023-07-19
SPN0239,Galih Dewanti,galih.dewanti239@pintarnusa.id,SMP,8,Sumatera Selatan,2025-07-18
SPN0240,Bambang Fadilah,bambang.fadilah240@pintarnusa.id,SMA,12,Jawa Timur,2023-11-13
SPN0241,Irma Sulistyo,irma.sulistyo241@pintarnusa.id,SMP,8,Nusa Tenggara Barat,2025-04-15
SPN0242,Lina Pratama,lina.pratama242@pintarnusa.id,SMA,10,Nusa Tenggara Timur,2025-06-27
SPN0243,Lukman Utami,lukman.utami243@pintarnusa.id,SMA,10,Bali,2025-01-22
SPN0244,Doni Sulistyo,doni.sulistyo244@pintarnusa.id,SMA,10,Jawa Tengah,2025-03-26
SPN0245,Lina Rahayu,lina.rahayu245@pintarnusa.id,SMP,8,Jawa Barat,2023-07-07
SPN0246,Rizki Saputra,rizki.saputra246@pintarnusa.id,SMP,7,Nusa Tenggara Barat,2024-11-14
SPN0247,Hendra Hidayat,hendra.hidayat247@pintarnusa.id,SMP,7,Jawa Tengah,2024-02-29
SPN0248,Kevin Saputra,kevin.saputra248@pintarnusa.id,SMP,8,Papua,2023-10-30
SPN0249,Laras Wijaya,laras.wijaya249@pintarnusa.id,SMA,10,Papua,2023-09-24
SPN0250,Doni Firmansyah,doni.firmansyah250@pintarnusa.id,SMP,7,Sulawesi Selatan,2023-02-22
SPN0251,Rina Wijaya,rina.wijaya251@pintarnusa.id,SMA,10,Jawa Timur,2024-10-25
SPN0252,Citra Wibowo,citra.wibowo252@pintarnusa.id,SMA,10,Jawa Tengah,2023-09-17
SPN0253,Syifa Prasetyo,syifa.prasetyo253@pintarnusa.id,SMP,9,Sulawesi Selatan,2023-05-11
